id	date	type	start(PST)	start(CST)	title	description	speakers
	1	social	9:00	18:00	social time		
	2	social	9:00	18:00	social time		
	1	kickoff	9:15	18:15	kickoff		
	2	kickoff	9:15	18:15	kickoff		
trampling-on-ghosts	1	full	9:30	18:30	Trampling on Ghosts: Hauntology and Permadeath	"This talk is an attempt to challenge the ways in which roguelikes handle death, reincarnation, and the way in which the player's failures ""haunt"" the game's environments. We'll be looking at this through the lens of ""hauntology"", a cultural theory that deals in cycles of nostalgia and the ghosts that it creates, and looking at how this might apply to roguelites such as Inscryption and Returnal. I promise it won't be quite as morbid as it sounds."	harry-solomons
control-the-controller	2	lightning	9:30	18:30	Who Controls the Controller? Thinking about physical player interactions outside a digital game	Ever considered how the way you press a button can change your gaming experience? In this talk, I'll share my perspective as someone from an industrial design background overthinking the weird world of alternative controller (or alt.ctrl) games. Here the controller is as much a part of the game as what is in the screen. We’ll explore how controls like making funny faces, rocking on a chair, or shoveling golf balls, can extend the boundaries of a game experience and how the interaction changes the relationship between player and game. We'll also consider how these principles could apply to traditional games, challenging control conventions to offer a more varied and engaging experience	yong-zhen-zhou
ac-meet-rc	2	lightning	9:45	18:45	Animal Crossing meets Roguelite Dungeon Crawler: The surprising genre mixture behind Grimoire Groves	During the peak of the Covid pandemic, a small indie game studio from Switzerland set out to take their favorite genre - roguelite dungeon crawlers - and transfer it into a cozy, colorful and comforting world. After all, the real world out there is already scary enough, so at least our favorite video games should be a place we want to escape to, right? Over the past four years, this vision manifested itself in Grimoire Groves, a roguelite game about witches, friendship, mythical creatures and growing plants. The talk tackles the surprising similarities between farming/life sims and roguelite dungeon crawlers by explaining how Grimoire Groves mixes cute Animal Crossing-like villagers and friendship systems with dungeon crawler action mechanics.	tabea-iseli
enhancing-narrative	1	full	10:00	19:00	Enhancing Narrative Through Randomness and Complications	Discover how randomness, particularly through oracles and partial successes, can transform game narratives from predictable paths into dynamic, unique stories. This talk will explore how random elements can drive compelling plotlines without relying on predefined lore, and how diverse complications can turn failures into opportunities for narrative branching. Through practical examples and case studies, we'll explore how structured randomness can lead to emergent storytelling that surprises both players and creators alike.	cezar-capacle
big-wishes	2	lightning	10:00	19:00	100'000 wishlists in 3 months - Weird roguelikes are taking over the world	The roguelike genre continues to ride a massive wave of popularity. New games are added to a long list of releases on a daily basis, leaving the market fairly crowded. However, as the genre matures, more and more sub-genres are emerging. Inspired by the success of Peglin, our studio decided to take a swing at putting together a demo for a 'physics rougelike', combining classic mechanics of the genre with the arcady physics of a claw machine. We named the 'Dungeon Clawler' and it has managed to earn 100k+ wishlists in its first 3 months on Steam. This talk goes into detail on how the game was designed and marketed.	philomena-schwab
going-legit	2	full	10:15	19:15	Going legit with DotA: How to transform a thousand authors into four	In 2015 Lilith games contests a complaint for copyright infringement sent to them by Valve. The dispute is over Defense of the Ancients (DotA) the multi million dollar E-sports and casual play intellectual property. This contesting escalates into a multi year lawsuit in which Lilith games challenges Valve and Blizzards claim to DotA, trying to claim it as a ’collective work’, pressuring these mega companies to frantically try and establish a ’'legitimate'' claim to their intellectual property. And in the process transforming the games formerly thousands of authors into four.   All this of course being in opposition to DotA’s nature – as a collective work.  Lets dive into how Valve successfully transformed the narrative of DotA’s development to the detriment of 99% of it’s authors and community and how we can prepare ourselves for ownership heists like these.  I suggest starting by looking to the practices of many a roguelike developer.	kaysa-konopljak
