id	name	social_media_link	headshot	talk_title	talk_description	biography	talk_id
ada-null	Ada Null	https://www.instagram.com/worldenddisk/ 	ada-null.png	Dyke sex and ennui: Generating unending narrative in 'Kiss Garden'	What if it just never damn ends? We typically design procedural generators with aspirations of unique, emergent outcomes, but perhaps there's a value to the sludge. I explore the development of my receipt printer artwork 'Kiss Garden', and how it generates an endless narrative of failing relationships while maintaining a forward momentum.	Ada Null is an artist, writer, and game maker working in London, UK. She tells stories of broken pasts and uncertain futures, fractured yet forever longing. Her work has been featured in publications such as The White Pube and Art Monthly.<br /><br /> Ada thinks roguelikes are 'very cool', although she still can't make it past the bit in Caves of Qud where you get ironshank.	dyke-sex
alexander-king	Alexander King	https://bsky.app/profile/literallyaking.com 	alexander-king.webp	Don't Pick Just One: Set-Based Card Mechanics in Roguelike-Deckbuilders	Most deckbuilders (roguelike or otherwise) focus on the interesting choices around a adding single card at a time to your deck. But there's actually a underexplored design space in deckbuilding games that has the player adding (or removing) cards in groups or sets. The set-based approach has very different affordances, and might actually be a better fit for certain kinds of roguelike deckbuilders. This talk is a quick look at this mechanical space, showing some of the games that have used it, and taking a critical look from a design perspective.	Alexander King is a game designer, analyst and teaching artist based in Brooklyn New York. His work centers on data-driven design and simulation, and his work has been featured in festivals like ALT.CTRL.GDC and IndieCade. He is the economy designer for Dear Reader, a puzzle game about public domain literature that is frequently listed as one of the best games in Apple's subscription service Apple Arcade. Alexander is also an adjunct professor at the NYU Game Center and Parsons Design & Technology program, where he teaches classes on games and systems design, and spreadsheets. He is the staff data analyst (and proud member) of ACT-UAW Local 7902, which represents part-time faculty at NYU and the New School. Before working in games, Alexander was an analytics consultant working in finance and ecommerce, but the economies he models now are usually fictional.	dont-pick-just-one
sofie-schmidt	Sofie Kjær Schmidt		sofie-schmidt.webp	Hoist the colours! Art direction and tech art in Sea Of Rifts, a naval story generation RPG	Art direction and production for procedural games is tricky. Artists need to understand the technical limitations and opportunities the medium offers, while programmers must create artist friendly workflows that also support the chosen aesthetic, and still have enough time to code the game itself. Last year Alex gave a talk on the procedural world, story, and character generation in Sea Of Rifts. We now want to open the lid on the treasure trove of experience we have gained on how to efficiently create art content for a generated 3D game in terms of direction, workflow, and technical solutions. In the talk we will first cover the overall art goals of the game. Sofie will then cover the specific techniques and design rules used to design the visuals, how we give feedback to each other, and why artists knowing the basics of the technical implementation, is a big win for the whole team. Alex will round off the talk with showing various artist friendly workflows and clever shader and GPU tricks we use to create a lot of visual variation in the game.	The lead artist on Sea Of Rifts and handling all the visuals for the game be it illustrations, 3D models or UI. The second to join the project she has taken the rough prototype Alex initially created and turned it pretty to look at. With a Masters in Arts, Game and Media Design, Sofie got an eye for details and experience with design theory in practice. When she is not drawing, she likes to hit the dance floor and go on adventures in search of new land to see and dainty mushrooms to forage.	hoist-the-colors
alex-birke	Alexander Birke	https://bsky.app/profile/alexanderbirke.bsky.social 	alex-birke.webp	Hoist the colours! Art direction and tech art in Sea Of Rifts, a naval story generation RPG	Art direction and production for procedural games is tricky. Artists need to understand the technical limitations and opportunities the medium offers, while programmers must create artist friendly workflows that also support the chosen aesthetic, and still have enough time to code the game itself. Last year Alex gave a talk on the procedural world, story, and character generation in Sea Of Rifts. We now want to open the lid on the treasure trove of experience we have gained on how to efficiently create art content for a generated 3D game in terms of direction, workflow, and technical solutions. In the talk we will first cover the overall art goals of the game. Sofie will then cover the specific techniques and design rules used to design the visuals, how we give feedback to each other, and why artists knowing the basics of the technical implementation, is a big win for the whole team. Alex will round off the talk with showing various artist friendly workflows and clever shader and GPU tricks we use to create a lot of visual variation in the game.	Game director and programmer on Sea Of Rifts. When he is not busy in the engine room he likes to cook up delicious vegetarian meals for his crew in the caboose. Alex is the old experienced sea dog of the team and has worked on a lot of different games such as PowerWash Simulator and What The Car.	hoist-the-colors
alexei-pepers	Alexei Pepers	https://bsky.app/profile/apepers.bsky.social 	alexei-pepers.png	Designing for System Suspense (Open Source Edition)	Have you ever been playing a game that took a sudden swerve so surprising that it left you thinking woah, what is this game even going to do next? Even better, did that feeling linger as you tested new hypotheses and re-evaluated your understanding of how the game worked and what was possible within it? If those experiences stick with you, then you'll be in good company as Alexei Pepers shares the work of likeminded designers to define this feeling we call 'system suspense'. She'll share how we can apply the concepts of suspense and surprise to the way that players build mental models of game systems, and then dig into examples of successful techniques for evoking system suspense in games such as Caves of Qud, Blaseball, and Baldur's Gate 3. <br /><br />This talk was originally given at GDC 2025, where the recording will be behind a hefty paywall for two years. For the Roguelike Celebration preview event, Alexei is going open source and adapting her talk to share freely!	Alexei is a technical systems designer with a focus on procedural generation. A founding member of Inflexion Games, she previously built the systems underpinning the procedural realms of Nightingale, and in particular developed the realm card system that gives players an in-game method of influencing generative parameters. Her interest in blending player agency with procedural systems led her next to Blaseball and then Gardens, as she continues to explore frameworks that make the most of combining developer creativity with systemic variety. But her proudest contribution to game development has been her contributions to Roguelike Celebration, as a speaker starting in 2016, and organizer from 2020 onward!	system-suspense
andrew-doull	Andrew Doull	https://bsky.app/profile/andrewdoull.bsky.social 	andrew-doull.jpg	Roguelike Radio 2011-present	The history of Roguelike Radio, a podcast about roguelikes which has been running since 2011.	Developed Unangband, an Angband variant; wrote ASCII dreams, a roguelike developer blog; co-founded Roguelike Radio; coined the term Procedural Content Generation; since then a board game and TTRPG designer.	roguelike-radio
bleeptrack	bleeptrack	https://vis.social/@bleeptrack	bleeptrack.jpg	From Code to Craft: Procedural Generation for the Physical World	Join bleeptrack for a deep dive into the fascinating world of procedural generation beyond the screen. From stickers and paper lanterns to PCBs, furniture, and even physical procedural generators, this talk explores the challenges and creative possibilities of bringing generative projects into tangible form.	bleeptrack is an award-winning artist and creative technologist. She completed her Master's degree in Media Informatics at the University of Ulm in 2017 and is currently doing her doctorate in Machine Learning and Computational Creativity. Her artistic focus is on generative art, AI/machine learning and digital fabrication.  She is particularly interested in the transfer of digital art into physical objects made from a wide range of materials, as well as the free and open-source publication of her art projects.	code-to-craft
brian-cronin	Brian Cronin	https://bsky.app/profile/briangcronin.bsky.social 	brian-cronin.jpeg	Playtesting Process for Ultra Small Teams	Making a roguelike with a tiny team (or just you)? You don't need a giant QA department to get incredible feedback, just a smart, repeatable process. Over the past five years, I've refined a lightweight 1-on-1 playtesting approach that has powered every project I've worked on. I'll show you how to find testers, run effective sessions, and turn raw reactions into actionable insights you can prioritize and act on. You'll leave with a concrete, field-tested playbook you can implement right away. A strong playtesting process is not just a way to passively collect feedback, it is one of the key ingredients that separates good games from truly great ones.	Brian Cronin is an engineer and designer from San Diego, CA. Having started on pre-smart phone game development in 2005, he's been working on games professionally for 20 years. He works full time in the educational game space and also works on roguelikes in his free time. He's passionate about gameplay architecture, game design, board games, comedy, and horror movies.	playtesting-process
dan-dilorio	Dan DiIorio	https://bsky.app/profile/TrampolineTales.com 	dan-dilorio.jpg	Luck be a Landlord - 10 Lessons Learned	I'll be discussing 10 lessons I learned during the development of Luck be a Landlord, the slot machine roguelike deckbuilder. My goal is to share the knowledge I've gained with aspiring game designers and developers.	A professional independent game developer based in the Midwestern United States. Known for being the developer and designer behind roguelikes such as Luck be a Landlord and Maze Mice.	luck-be-a-landlord
ezra-szanton	Ezra Szanton	https://bsky.app/profile/ezra-szanton.itch.io 	ezra-szanton.jpg	Building Synergy Networks for better Roguelike Deckbuilders	Roguelike Deckbuilders live or die on the quality of the drafting decisions they present. When a player chooses between 3 cards, what is going through their head? This talk is about how to achieve deep but accessible drafting decisions which result in memorable games that excite players. Synergy Networks are a helpful lens for creating sets of cards that achieve these aims. Modeling the synergies between cards as a network allows us to use ideas from network theory like path length, density and hubs. Digressions will include characteristics of synergies, broad types of synergies useful for brainstorming, and why anti-synergy is just as important as synergy itself. This talk is informed by my work designing Hellscaper and Mr Magpie's Harmless Card Game, two roguelike deckbuilders.	I'm a game designer / programmer whose creative interests include horror games, journaling games and roguelike deckbuilders. I love the feeling of improvising on the spot while you're drafting. I'm obsessed with designing games that give players that experience. I've made a tile placement deckbuilder called Hellscaper and I'm currently working on a horror-comedy deckbuilder called Mr Magpie's Harmless Card Game. 	building-synergy-networks
